PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,DraftedBy,DraftRound,DraftPick,DraftSeason,HallOfFame,Injury,InjuryLength,Salary,ContractYears,Position,Alt Position,Team,RetiredSeason,Franchise Tag,Tender Type,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
1809,29,Eric,Dickerson,SMU,27,2,75,220,14,14,1,10,1985,False,,,6000000,3,RB,RB,ATL,0,False,None,1985 Offensive Rookie of the Year|1985 Offensive Player of the Year|1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team,80,88,29,97,69,70,32,34,51,38,92,4,1,98
1810,56,Lawrence,Taylor,North Carolina,28,2,75,237,17,17,1,4,1985,False,,,6000000,3,LB,LB,WAS,0,False,None,1985 NFC Pro Bowl Team|1986 Defensive Player of the Year|1986 NFC Pro Bowl Team,86,81,10,90,55,76,8,7,5,93,93,1,1,100
1811,42,Ronnie,Lott,USC,28,2,72,203,4,4,1,12,1985,False,,,6000000,3,FS,FS,OAK,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,71,90,1,92,69,76,4,1,2,79,91,3,1,100
1812,33,Roger,Craig,Nebraska,27,2,72,222,3,3,1,17,1985,False,,,6000000,3,FB,FB,GB,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,76,76,5,82,92,70,1,71,57,43,79,1,1,100
1813,16,Joe,Montana,Notre Dame,31,2,74,200,12,11,1,2,1985,False,,,6000000,3,QB,QB,DET,0,False,None,1986 NFC Pro Bowl Team,60,63,92,53,21,93,96,5,1,39,100,1,1,98
1814,34,Walter,Payton,Jackson State,32,1,70,200,0,17,2,15,1985,False,,,0,0,RB,RB,N/A,1986,False,None,,62,91,31,82,69,80,36,33,34,44,89,8,1,89
1815,7,John,Elway,Stanford,27,2,75,215,18,18,1,5,1985,False,,,6000000,3,QB,QB,BAL,0,False,None,1986 NFC Pro Bowl Team,64,80,90,67,21,92,95,1,1,31,85,1,5,95
1816,13,Dan,Marino,Pittsburgh,26,2,76,224,7,7,1,1,1985,False,,,6000000,3,QB,QB,CIN,0,False,None,1985 AFC Pro Bowl Team|1986 Offensive Player of the Year|1986 Most Valuable Player|1986 AFC Pro Bowl Team,68,71,97,60,30,85,97,1,4,29,96,3,1,99
1817,57,Rickey,Jackson,Pittsburgh,29,2,74,243,6,6,1,15,1985,False,,,6000000,3,LB,LB,NYG,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,79,85,1,80,64,74,2,1,1,86,89,2,10,95
1818,91,Reggie,White,Tennessee,26,2,77,291,5,5,1,6,1985,False,,,6000000,3,DE,DE,BUF,0,False,None,1985 Defensive Rookie of the Year|1985 Defensive Player of the Year|1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,85,81,7,72,57,70,1,5,1,87,88,1,2,97
1819,1,Warren,Moon,Washington,31,2,75,218,8,8,1,9,1985,False,,,6000000,3,QB,QB,PRO,0,False,None,1986 AFC Pro Bowl Team,60,67,92,60,25,94,82,5,1,39,89,9,1,93
1820,72,Kent,Hill,Georgia Tech,30,2,77,260,14,14,2,9,1985,False,,,5500000,2,G,G,ATL,0,False,None,1985 NFC Pro Bowl Team,87,64,5,63,15,63,1,89,83,44,63,1,5,94
1821,54,Randy,White,Maryland,33,1,76,257,0,5,2,13,1985,False,,,0,0,DT,DT,N/A,1986,False,None,1985 AFC Pro Bowl Team,80,74,8,74,44,59,1,9,5,78,83,3,1,90
1822,80,Henry,Ellard,Fresno State,26,2,71,180,2,2,2,6,1985,False,,,5500000,2,WR,WR,MIA,0,False,None,,40,93,1,90,92,60,10,35,30,38,90,1,1,93
1823,44,John,Riggins,Kansas,37,1,74,230,0,6,5,15,1985,False,,,0,0,RB,RB,N/A,1986,False,None,1985 AFC Pro Bowl Team,73,68,34,69,72,60,23,38,20,36,71,1,5,80
1824,32,Marcus,Allen,USC,27,2,74,210,1,1,1,16,1985,False,,,6000000,3,RB,RB,KC,0,False,None,1985 AFC Pro Bowl Team|1986 AFC Pro Bowl Team,72,85,30,89,80,66,35,38,42,50,97,1,1,96
1825,22,Gill,Byrd,San Jose State,26,2,71,195,6,6,2,4,1985,False,,,5500000,2,SS,SS,NYG,0,False,None,1986 AFC Pro Bowl Team,73,87,1,85,70,66,1,5,1,65,92,1,1,94
1826,80,Jerry,Rice,Miss. Valley State,25,2,74,200,15,15,1,3,1985,False,,,6000000,3,WR,WR,SF,0,False,None,1985 NFC Pro Bowl Team,47,95,8,95,99,86,7,31,33,34,97,7,5,94
1827,84,Gary,Clark,James Madison,25,2,69,173,16,16,1,14,1985,False,,,6000000,3,WR,WR,TB,0,False,None,1985 NFC Pro Bowl Team|1986 NFC Pro Bowl Team,51,92,1,90,92,57,8,34,22,42,93,1,1,94
1828,78,Anthony,Munoz,USC,29,2,78,278,1,1,2,3,1985,False,,,5500000,2,T,T,KC,0,False,None,,82,60,10,53,22,72,1,85,90,59,80,9,10,93
1829,31,Donnie,Shell,South Carolina State,35,2,71,190,0,16,4,5,1985,False,,,0,0,SS,SS,N/A,1987,False,None,1985 NFC Pro Bowl Team,77,83,1,86,57,57,8,3,1,65,83,1,1,88
1830,57,Steve,Nelson,Augsburg,36,2,74,230,16,16,5,14,1985,False,,,4000000,1,LB,LB,TB,0,False,None,,60,77,1,74,46,74,1,1,1,77,91,1,1,81
1831,32,James,Wilder,Missouri,29,2,75,225,18,18,3,5,1985,False,,,5000000,1,RB,RB,BAL,0,False,None,1985 NFC Pro Bowl Team,63,69,32,81,69,66,25,22,30,42,92,1,1,86
1832,14,Dan,Fouts,Oregon,36,2,75,204,2,3,2,2,1985,False,,,5500000,2,QB,QB,MIA,0,False,None,1985 Most Valuable Player|1985 AFC Pro Bowl Team,51,64,89,48,14,89,82,1,10,28,79,1,1,83
1833,33,Tony,Dorsett,Pittsburgh,33,2,71,192,0,9,6,12,1985,False,,,0,0,RB,RB,N/A,1987,False,None,1985 AFC Pro Bowl Team,62,81,25,87,69,59,35,32,48,50,83,8,1,90
