ID,FirstName,LastName,TeamID,Age,Exp,Background,Attitude,Style,Salary,SalaryYears,Job,HOF,Team
3841,Ted,Lasso,7,39,2,CollegeCoach,Silent,Conservative,10,20,Head Coach,False,CIN
23772,John,Marshall,14,41,2,PositionCoach,Enthusiastic,Conservative,4,2,Defensive Coordinator,False,ATL
29522,Don,Shula,2,55,2,Player,Silent,Conservative,10,20,Head Coach,False,MIA
56262,Mike,Ditka,11,47,2,PositionCoach,Silent,Conservative,4,2,Offensive Coordinator,False,CHI
61172,Nick,Miller,12,40,2,Player,Professional,Conservative,10,20,Head Coach,False,DET
67835,Bill,Walsh,15,55,2,PositionCoach,Relaxed,Balanced,4,2,Offensive Coordinator,False,SF
70157,Amos Alonzo,Stagg,11,24,2,None,Professional,Balanced,10,20,Head Coach,False,CHI
95660,Chip,Biggock,16,57,2,ProCoach,Enthusiastic,Balanced,10,20,Head Coach,False,TB
122637,Jimmy,Conzelman,8,31,2,Player,Volatile,Conservative,10,20,Head Coach,False,PRO
136373,Jimmy,Johnson,18,43,2,PositionCoach,Stern,Aggressive,4,2,Defensive Coordinator,False,BAL
137260,Jurgen,Klopp,17,57,2,Player,Professional,Balanced,10,20,Head Coach,False,WAS
140305,Curly,Lambeau,3,22,2,CollegeCoach,Volatile,Aggressive,10,20,Head Coach,False,GB
153662,Dick,LeBeau,7,49,2,PositionCoach,Volatile,Conservative,4,2,Defensive Coordinator,False,CIN
156310,Jerry,Burns,13,59,2,PositionCoach,Professional,Balanced,4,2,Offensive Coordinator,False,MIN
157706,Marv,Levy,5,59,2,ProCoach,Enthusiastic,Balanced,10,20,Head Coach,False,BUF
163251,Chuck,Studley,2,57,2,PositionCoach,Stern,Balanced,4,2,Defensive Coordinator,False,MIA
164940,Pete,Carroll,9,35,2,PositionCoach,Enthusiastic,Balanced,4,2,Defensive Coordinator,False,LON
166911,Dan,Henning,14,44,2,PositionCoach,Volatile,Conservative,4,2,Offensive Coordinator,False,ATL
180957,Bob,Zemen,4,49,2,PositionCoach,Silent,Balanced,4,2,Defensive Coordinator,False,OAK
186804,Fred,Bruney,16,55,2,PositionCoach,Volatile,Balanced,4,2,Defensive Coordinator,False,TB
195031,John,Mackovic,1,43,2,PositionCoach,Enthusiastic,Balanced,4,2,Offensive Coordinator,False,KC
196176,Tom,Bettis,3,53,2,PositionCoach,Stern,Conservative,4,2,Defensive Coordinator,False,GB
207599,Hugh,Campbell,3,45,2,PositionCoach,Stern,Conservative,4,2,Offensive Coordinator,False,GB
215070,Dick,Modzelewski,10,55,2,PositionCoach,Professional,Aggressive,4,2,Defensive Coordinator,False,IND
225997,Larry,Peccatiello,17,51,2,PositionCoach,Relaxed,Balanced,4,2,Defensive Coordinator,False,WAS
234798,Bob,Baker,12,59,2,PositionCoach,Volatile,Conservative,4,2,Offensive Coordinator,False,DET
239949,Darryl,Rogers,12,52,2,PositionCoach,Professional,Conservative,4,2,Defensive Coordinator,False,DET
