ID,FirstName,LastName,TeamID,Age,Exp,Background,Attitude,Style,Salary,SalaryYears,Job,HOF,Team
507,Richard,Keeling,16,51,8,None,Enthusiastic,Aggressive,0.4,4,Special Teams Coach,False,TB
2248,Jonathan,Keeler,10,36,3,None,Professional,Aggressive,0.4,4,LB Coach,False,IND
3535,Kenneth,Bates,2,51,16,None,Enthusiastic,Conservative,0.4,4,DB Coach,False,MIA
3841,Ted,Lasso,7,45,7,ProCoach,Enthusiastic,Aggressive,10,17,Head Coach,False,CIN
4394,Ross,Taylor,17,37,3,None,Volatile,Balanced,0.4,4,QB Coach,False,CHC
8917,Willie,Wilks,4,42,3,None,Volatile,Balanced,0.4,4,OL Coach,False,OAK
9559,Juan,Epperson,14,42,7,None,Silent,Balanced,0.4,4,OL Coach,False,ATL
11355,Michael,Macleod,19,38,3,None,Relaxed,Balanced,0.4,4,OL Coach,False,WAS
18749,Kerry,Boyd,2,38,3,None,Relaxed,Balanced,0.4,4,Special Teams Coach,False,MIA
21668,Terry,Reeves,16,39,3,None,Stern,Conservative,0.4,4,Head Scout,False,TB
23772,John,Marshall,14,46,7,None,Professional,Conservative,4,4,Defensive Coordinator,False,ATL
25164,Charles,Cox,12,36,3,None,Enthusiastic,Aggressive,0.4,4,DB Coach,False,DET
28864,Israel,Keeler,17,40,5,None,Silent,Aggressive,0.4,4,Head Scout,False,CHC
29522,Dustin,Bates,2,39,7,None,Enthusiastic,Balanced,10,6,Head Coach,False,MIA
30170,Roger,Locklear,4,44,8,None,Stern,Aggressive,0.4,4,RB and Receivers Coach,False,OAK
33487,Robert,Jackson,12,36,3,None,Enthusiastic,Conservative,0.4,4,OL Coach,False,DET
35601,Edward,Williams,8,39,3,None,Volatile,Balanced,0.4,4,DL Coach,False,SEA
37272,Terry,Roper,18,38,3,None,Stern,Balanced,0.4,4,Special Teams Coach,False,BAL
46248,George,Yarbrough,10,51,15,None,Silent,Balanced,0.4,4,DB Coach,False,IND
