ID,FirstName,LastName,TeamID,Age,Exp,Background,Attitude,Style,Salary,SalaryYears,Job,HOF,Team
507,Richard,Keeling,16,48,5,CollegeCoach,Relaxed,Balanced,0.6,0,Special Teams Coach,False,TB
2248,Jonathan,Keeler,10,33,0,CollegeCoach,Silent,Aggressive,1.2,0,LB Coach,False,IND
3535,Kenneth,Bates,2,48,13,CollegeCoach,Professional,Conservative,0.8,0,DB Coach,False,MIA
3841,Ted,Lasso,7,41,4,CollegeCoach,Silent,Conservative,10,20,Head Coach,False,CIN
4394,Ross,Taylor,17,34,0,PositionCoach,Silent,Aggressive,0.4,0,QB Coach,False,CHC
8917,Willie,Wilks,4,39,0,CollegeCoach,Professional,Balanced,0.8,0,OL Coach,False,OAK
9559,Juan,Epperson,14,39,4,None,Relaxed,Aggressive,1.2,7,OL Coach,False,ATL
11355,Michael,Macleod,19,35,0,Player,Professional,Conservative,0.3,0,OL Coach,False,SEA
18749,Kerry,Boyd,2,35,0,CollegeCoach,Volatile,Aggressive,1.2,0,Special Teams Coach,False,MIA
21668,Terry,Reeves,16,36,0,CollegeCoach,Volatile,Conservative,2,0,Head Scout,False,TB
23772,John,Marshall,14,43,4,None,Relaxed,Balanced,4,7,Defensive Coordinator,False,ATL
25164,Charles,Cox,12,33,0,PositionCoach,Stern,Conservative,0.4,0,DB Coach,False,DET
28864,Israel,Keeler,17,37,2,PositionCoach,Silent,Balanced,1.2,0,Head Scout,False,CHC
29522,Don,Shula,2,57,4,Player,Silent,Conservative,10,20,Head Coach,False,MIA
30170,Roger,Locklear,4,41,5,PositionCoach,Silent,Aggressive,0.8,0,RB and Receivers Coach,False,OAK
33487,Robert,Jackson,12,33,0,CollegeCoach,Professional,Conservative,1.2,0,OL Coach,False,DET
35601,Edward,Williams,8,36,0,PositionCoach,Professional,Balanced,0.7,0,DL Coach,False,BER
37272,Terry,Roper,18,35,0,PositionCoach,Stern,Balanced,0.4,0,Special Teams Coach,False,BAL
46248,George,Yarbrough,10,48,12,CollegeCoach,Relaxed,Balanced,0.4,0,DB Coach,False,IND
46553,Casey,Torres,3,34,0,PositionCoach,Stern,Conservative,0.7,0,QB Coach,False,GB
48597,Aaron,Golden,5,35,0,CollegeCoach,Enthusiastic,Balanced,0.8,0,OL Coach,False,BUF
51113,Earl,Parrish,20,39,2,ProCoach,Professional,Balanced,0.6,0,Special Teams Coach,False,NYJ
51225,Frankie,Garza,20,33,0,PositionCoach,Volatile,Balanced,1.7,0,Head Trainer,False,NYJ
53000,Carl,Horowitz,12,34,0,PositionCoach,Professional,Conservative,0.8,0,LB Coach,False,DET
54248,Johnny,Hutchison,12,33,0,Player,Professional,Conservative,1.2,0,Special Teams Coach,False,DET
56262,Mike,Ditka,11,49,4,PositionCoach,Silent,Conservative,4,0,Offensive Coordinator,False,CHI
58257,Micheal,Frye,18,39,4,CollegeCoach,Silent,Aggressive,0.8,0,DB Coach,False,BAL
61172,Nick,Miller,12,42,4,Player,Professional,Conservative,10,20,Head Coach,False,DET
61956,Juan,Robinson,11,34,0,PositionCoach,Professional,Balanced,1.2,0,LB Coach,False,CHI
62351,Richard,Bender,9,38,1,CollegeCoach,Volatile,Aggressive,0.3,0,DL Coach,False,LON
63254,Solomon,Epps,9,34,0,CollegeCoach,Stern,Aggressive,0.7,0,RB and Receivers Coach,False,LON
67835,Bill,Walsh,15,57,4,PositionCoach,Relaxed,Balanced,4,0,Offensive Coordinator,False,SF
68330,Solomon,Lucero,6,36,0,CollegeCoach,Relaxed,Balanced,0.3,0,QB Coach,False,NYG
70157,Amos Alonzo,Stagg,11,28,4,Player,Professional,Balanced,10,20,Head Coach,False,CHI
72729,Bryce,Isaacs,20,44,5,PositionCoach,Professional,Aggressive,5.5,0,Defensive Coordinator,False,NYJ
74818,Harvey,Jones,8,33,0,PositionCoach,Relaxed,Aggressive,1.4,0,Head Trainer,False,BER
79858,Donald,Garcia,10,33,0,PositionCoach,Silent,Conservative,0.8,0,OL Coach,False,IND
80027,Garfield,Connor,20,40,4,CollegeCoach,Silent,Conservative,4.8,0,Offensive Coordinator,False,NYJ
86574,Stephen,Osburn,13,38,0,CollegeCoach,Enthusiastic,Balanced,0.3,0,DB Coach,False,MIN
89455,James,Mireles,18,38,0,CollegeCoach,Volatile,Balanced,0.4,0,RB and Receivers Coach,False,BAL
95444,Bennett,Butcher,8,34,0,ProCoach,Enthusiastic,Conservative,1.1,0,RB and Receivers Coach,False,BER
95660,Chip,Biggock,16,59,4,ProCoach,Enthusiastic,Balanced,10,20,Head Coach,False,TB
96970,Harry,Augustine,6,43,0,ProCoach,Silent,Conservative,1.1,0,OL Coach,False,NYG
98011,Daniel,Chamberlin,14,33,0,None,Relaxed,Balanced,0.8,7,Head Trainer,False,ATL
99609,Jonathan,Young,10,44,8,PositionCoach,Enthusiastic,Balanced,2,0,Head Trainer,False,IND
99721,Jeffrey,Mcmullen,5,37,0,ProCoach,Stern,Aggressive,0.4,0,RB and Receivers Coach,False,BUF
105736,Matthew,Ortiz,13,38,0,ProCoach,Silent,Balanced,2.9,0,Head Scout,False,MIN
109098,Jose,Thomas,7,38,0,PositionCoach,Stern,Balanced,3.2,0,Head Trainer,False,CIN
111215,Tom,Luong,5,35,0,Player,Silent,Conservative,0.4,0,LB Coach,False,BUF
111374,Douglas,Scott,10,47,4,PositionCoach,Volatile,Aggressive,0.8,0,Special Teams Coach,False,IND
117841,Gary,Powell,2,34,0,Player,Enthusiastic,Conservative,3.2,0,Head Scout,False,MIA
119422,Earl,Coleman,5,33,0,CollegeCoach,Relaxed,Aggressive,2,0,Head Trainer,False,BUF
120357,Morgan,Beaver,9,46,8,ProCoach,Stern,Aggressive,0.3,0,OL Coach,False,LON
122637,Jimmy,Conzelman,8,33,4,Player,Volatile,Conservative,10,20,Head Coach,False,BER
123081,Barry,Mcgraw,17,35,0,CollegeCoach,Relaxed,Conservative,0.4,0,Special Teams Coach,False,CHC
126604,Matthew,Lapointe,19,49,12,CollegeCoach,Relaxed,Conservative,5.5,1,Defensive Coordinator,False,SEA
127300,Eddie,Turner,15,39,1,ProCoach,Volatile,Conservative,0.8,0,Head Trainer,False,SF
129311,Richard,Snyder,13,34,0,Player,Stern,Aggressive,1.1,0,RB and Receivers Coach,False,MIN
131985,Miguel,Marshall,9,42,4,ProCoach,Silent,Balanced,1.1,0,Special Teams Coach,False,LON
132834,Gary,Christensen,2,38,0,CollegeCoach,Stern,Aggressive,0.8,0,DL Coach,False,MIA
136285,Alton,Garnett,12,42,0,CollegeCoach,Silent,Balanced,1.2,0,QB Coach,False,DET
136373,Jimmy,Johnson,18,45,4,PositionCoach,Stern,Aggressive,4,0,Defensive Coordinator,False,BAL
137260,Jurgen,Klopp,17,59,4,Player,Professional,Balanced,10,20,Head Coach,False,CHC
140305,Curly,Lambeau,3,24,4,ProCoach,Professional,Aggressive,10,20,Head Coach,False,GB
140718,Harry,Homan,18,42,0,Player,Professional,Conservative,0.8,0,OL Coach,False,BAL
144598,Warren,Ricker,4,33,0,CollegeCoach,Volatile,Conservative,0.4,0,DL Coach,False,OAK
153662,Dick,LeBeau,7,51,4,PositionCoach,Volatile,Conservative,4,0,Defensive Coordinator,False,CIN
155411,Micah,Huskey,13,37,2,PositionCoach,Relaxed,Conservative,0.3,0,LB Coach,False,MIN
156310,Jerry,Burns,13,61,4,PositionCoach,Professional,Balanced,4,0,Offensive Coordinator,False,MIN
157706,Marv,Levy,5,61,4,ProCoach,Enthusiastic,Aggressive,10,20,Head Coach,False,BUF
158514,Carlos,Doss,19,34,0,CollegeCoach,Stern,Conservative,1,0,RB and Receivers Coach,False,SEA
163251,Chuck,Studley,2,59,4,PositionCoach,Stern,Balanced,4,0,Defensive Coordinator,False,MIA
164035,Andrew,Spriggs,16,38,0,ProCoach,Silent,Balanced,1,0,QB Coach,False,TB
164940,Pete,Carroll,9,37,4,PositionCoach,Enthusiastic,Balanced,4,0,Defensive Coordinator,False,LON
166614,Alexander,Powell,3,37,0,Player,Silent,Balanced,2.3,0,Head Trainer,False,GB
166911,Dan,Henning,14,46,4,None,Relaxed,Balanced,4,7,Offensive Coordinator,False,ATL
168996,Carroll,Justice,2,39,0,PositionCoach,Stern,Balanced,0.8,0,RB and Receivers Coach,False,MIA
169029,William,Buxton,11,38,0,CollegeCoach,Silent,Conservative,1.6,0,Head Trainer,False,CHI
169258,Eugene,Harper,7,39,0,CollegeCoach,Relaxed,Balanced,0.8,0,DB Coach,False,CIN
170461,Dean,Clough,8,33,0,PositionCoach,Silent,Conservative,0.3,0,Special Teams Coach,False,BER
172402,Otis,Self,13,35,0,CollegeCoach,Enthusiastic,Conservative,1.1,0,OL Coach,False,MIN
173385,William,Pridgen,16,39,0,PositionCoach,Enthusiastic,Aggressive,0.6,0,OL Coach,False,TB
177139,Cory,Dominguez,6,34,0,PositionCoach,Stern,Aggressive,1.1,0,DB Coach,False,NYG
180957,Bob,Zemen,4,51,4,PositionCoach,Silent,Balanced,4,0,Defensive Coordinator,False,OAK
180996,Andrew,Wade,20,35,0,CollegeCoach,Stern,Balanced,0.3,0,QB Coach,False,NYJ
186804,Fred,Bruney,16,57,4,PositionCoach,Volatile,Balanced,4,0,Defensive Coordinator,False,TB
187430,Steven,Camacho,7,39,0,Player,Enthusiastic,Aggressive,0.8,0,DL Coach,False,CIN
192370,Carl,Lane,20,35,0,ProCoach,Volatile,Balanced,0.3,0,RB and Receivers Coach,False,NYJ
195031,John,Mackovic,1,45,4,PositionCoach,Enthusiastic,Balanced,4,0,Offensive Coordinator,False,KC
195505,James,Hemphill,6,39,4,ProCoach,Enthusiastic,Balanced,0.7,0,DL Coach,False,NYG
196176,Tom,Bettis,3,55,4,PositionCoach,Stern,Conservative,4,0,Defensive Coordinator,False,GB
200035,Danial,Lauer,1,38,3,ProCoach,Enthusiastic,Aggressive,0.7,0,QB Coach,False,KC
200242,Raleigh,Seaton,11,47,2,ProCoach,Relaxed,Conservative,0.4,0,QB Coach,False,CHI
202647,David,Corbett,14,46,10,None,Relaxed,Balanced,0.4,7,DB Coach,False,ATL
203211,Jeffrey,Muse,11,37,0,CollegeCoach,Professional,Balanced,0.8,0,Special Teams Coach,False,CHI
203670,Jed,Williams,12,38,2,Player,Volatile,Conservative,2.4,0,Head Scout,False,DET
206137,Richard,Gonzalez,3,37,0,ProCoach,Volatile,Aggressive,0.3,0,RB and Receivers Coach,False,GB
207369,Larry,Dyer,18,36,0,CollegeCoach,Enthusiastic,Balanced,0.8,0,Head Trainer,False,BAL
207556,Steven,Slack,20,39,2,ProCoach,Enthusiastic,Conservative,0.3,0,DL Coach,False,NYJ
207599,Hugh,Campbell,3,47,4,PositionCoach,Stern,Conservative,4,0,Offensive Coordinator,False,GB
214465,Henry,Heaton,11,37,0,Player,Professional,Conservative,0.8,0,DL Coach,False,CHI
215070,Dick,Modzelewski,10,57,4,PositionCoach,Professional,Aggressive,4,0,Defensive Coordinator,False,IND
217664,Peter,Wilke,20,35,0,ProCoach,Relaxed,Aggressive,1.7,0,Head Scout,False,NYJ
218827,Zapp,Rowsdower,19,51,2,None,Stern,Conservative,2.5,4,Head Coach,False,SEA
222647,Brian,Hemphill,15,39,0,PositionCoach,Volatile,Conservative,1.2,0,RB and Receivers Coach,False,SF
