ID,FirstName,LastName,TeamID,Age,Exp,Background,Attitude,Style,Salary,SalaryYears,Job,HOF,Team
507,Richard,Keeling,16,50,7,None,Enthusiastic,Aggressive,0.4,5,Special Teams Coach,False,TB
2248,Jonathan,Keeler,10,35,2,None,Professional,Aggressive,0.4,5,LB Coach,False,IND
3535,Kenneth,Bates,2,50,15,None,Enthusiastic,Conservative,0.4,5,DB Coach,False,MIA
3841,Ted,Lasso,7,44,6,ProCoach,Enthusiastic,Aggressive,10,18,Head Coach,False,CIN
4394,Ross,Taylor,17,36,2,None,Volatile,Balanced,0.4,5,QB Coach,False,CHC
8917,Willie,Wilks,4,41,2,None,Volatile,Balanced,0.4,5,OL Coach,False,OAK
9559,Juan,Epperson,14,41,6,None,Silent,Balanced,0.4,5,OL Coach,False,ATL
11355,Michael,Macleod,19,37,2,None,Relaxed,Balanced,0.4,5,OL Coach,False,WAS
18749,Kerry,Boyd,2,37,2,None,Relaxed,Balanced,0.4,5,Special Teams Coach,False,MIA
21668,Terry,Reeves,16,38,2,None,Stern,Conservative,0.4,5,Head Scout,False,TB
23772,John,Marshall,14,45,6,None,Professional,Conservative,4,5,Defensive Coordinator,False,ATL
25164,Charles,Cox,12,35,2,None,Enthusiastic,Aggressive,0.4,5,DB Coach,False,DET
28864,Israel,Keeler,17,39,4,None,Silent,Aggressive,0.4,5,Head Scout,False,CHC
29522,Dustin,Bates,2,38,6,None,Enthusiastic,Balanced,10,7,Head Coach,False,MIA
30170,Roger,Locklear,4,43,7,None,Stern,Aggressive,0.4,5,RB and Receivers Coach,False,OAK
33487,Robert,Jackson,12,35,2,None,Enthusiastic,Conservative,0.4,5,OL Coach,False,DET
35601,Edward,Williams,8,38,2,None,Volatile,Balanced,0.4,5,DL Coach,False,SEA
37272,Terry,Roper,18,37,2,None,Stern,Balanced,0.4,5,Special Teams Coach,False,BAL
46248,George,Yarbrough,10,50,14,None,Silent,Balanced,0.4,5,DB Coach,False,IND
46553,Casey,Torres,3,36,2,None,Relaxed,Aggressive,0.4,5,QB Coach,False,GB
48597,Aaron,Golden,5,37,2,None,Stern,Conservative,0.4,5,OL Coach,False,BUF
51113,Earl,Parrish,20,41,4,None,Enthusiastic,Aggressive,0.4,5,Special Teams Coach,False,SD
51225,Frankie,Garza,20,35,2,None,Stern,Aggressive,0.4,5,Head Trainer,False,SD
53000,Carl,Horowitz,12,36,2,None,Silent,Conservative,0.4,5,LB Coach,False,DET
54248,Johnny,Hutchison,12,35,2,None,Relaxed,Aggressive,0.4,5,Special Teams Coach,False,DET
56262,Mike,Ditka,11,51,6,None,Stern,Conservative,4,5,Offensive Coordinator,False,CHI
58257,Micheal,Frye,18,41,6,None,Relaxed,Conservative,0.4,5,DB Coach,False,BAL
61172,Nick,Miller,12,44,6,Player,Professional,Balanced,10,18,Head Coach,False,DET
61956,Juan,Robinson,11,36,2,None,Relaxed,Conservative,0.4,5,LB Coach,False,CHI
62351,Richard,Bender,9,40,3,None,Enthusiastic,Aggressive,0.4,5,DL Coach,False,LON
63254,Solomon,Epps,9,36,2,None,Enthusiastic,Balanced,0.4,5,RB and Receivers Coach,False,LON
67835,Bill,Walsh,15,59,6,None,Silent,Aggressive,4,5,Offensive Coordinator,False,SF
68330,Solomon,Lucero,6,38,2,None,Stern,Balanced,0.4,5,QB Coach,False,NYG
70157,Amos Alonzo,Stagg,11,30,6,ProCoach,Professional,Balanced,10,18,Head Coach,False,CHI
72729,Bryce,Isaacs,20,46,7,None,Stern,Aggressive,4,5,Defensive Coordinator,False,SD
74818,Harvey,Jones,8,35,2,None,Relaxed,Aggressive,0.4,5,Head Trainer,False,SEA
79858,Donald,Garcia,10,35,2,None,Relaxed,Aggressive,0.4,5,OL Coach,False,IND
80027,Garfield,Connor,20,42,6,None,Volatile,Balanced,4,5,Offensive Coordinator,False,SD
86574,Stephen,Osburn,13,40,2,None,Relaxed,Balanced,0.4,5,DB Coach,False,MIN
89455,James,Mireles,18,40,2,None,Relaxed,Conservative,0.4,5,RB and Receivers Coach,False,BAL
95444,Bennett,Butcher,8,36,2,None,Volatile,Aggressive,0.4,5,RB and Receivers Coach,False,SEA
95660,Chip,Biggock,16,62,6,None,Enthusiastic,Balanced,10,18,Head Coach,False,TB
96970,Harry,Augustine,6,45,2,None,Relaxed,Aggressive,0.4,5,OL Coach,False,NYG
98011,Daniel,Chamberlin,14,35,2,None,Silent,Conservative,0.4,5,Head Trainer,False,ATL
99609,Jonathan,Young,10,46,10,None,Silent,Aggressive,0.4,5,Head Trainer,False,IND
99721,Jeffrey,Mcmullen,5,39,2,None,Volatile,Conservative,0.4,5,RB and Receivers Coach,False,BUF
105736,Matthew,Ortiz,13,40,2,None,Stern,Balanced,0.4,5,Head Scout,False,MIN
109098,Jose,Thomas,7,40,2,None,Professional,Aggressive,0.4,5,Head Trainer,False,CIN
111215,Tom,Luong,5,37,2,None,Stern,Conservative,0.4,5,LB Coach,False,BUF
111374,Douglas,Scott,10,49,6,None,Relaxed,Balanced,0.4,5,Special Teams Coach,False,IND
117841,Gary,Powell,2,36,2,None,Professional,Conservative,0.4,5,Head Scout,False,MIA
119422,Earl,Coleman,5,35,2,None,Enthusiastic,Balanced,0.4,5,Head Trainer,False,BUF
120357,Morgan,Beaver,9,48,10,None,Silent,Conservative,0.4,5,OL Coach,False,LON
122637,Johnny,Mnemonic,8,40,6,None,Enthusiastic,Balanced,10,18,Head Coach,False,SEA
123081,Barry,Mcgraw,17,37,2,None,Stern,Conservative,0.4,5,Special Teams Coach,False,CHC
126604,Matthew,Lapointe,19,51,14,None,Relaxed,Conservative,4,5,Defensive Coordinator,False,WAS
127300,Eddie,Turner,15,41,3,None,Silent,Conservative,0.4,5,Head Trainer,False,SF
129311,Richard,Snyder,13,36,2,None,Professional,Conservative,0.4,5,RB and Receivers Coach,False,MIN
131985,Miguel,Marshall,9,44,6,None,Volatile,Balanced,0.4,5,Special Teams Coach,False,LON
132834,Gary,Christensen,2,40,2,None,Silent,Conservative,0.4,5,DL Coach,False,MIA
136285,Alton,Garnett,12,44,2,None,Enthusiastic,Conservative,0.4,5,QB Coach,False,DET
136373,Jimmy,Johnson,18,47,6,None,Volatile,Balanced,4,5,Defensive Coordinator,False,BAL
137260,Paddy,Driscoll,17,25,6,Player,Professional,Aggressive,10,18,Head Coach,False,CHC
140305,Curly,Lambeau,3,27,6,Player,Professional,Balanced,10,18,Head Coach,False,GB
140718,Harry,Homan,18,44,2,None,Volatile,Conservative,0.4,5,OL Coach,False,BAL
144598,Warren,Ricker,4,35,2,None,Professional,Conservative,0.4,5,DL Coach,False,OAK
153662,Dick,LeBeau,7,53,6,None,Stern,Conservative,4,5,Defensive Coordinator,False,CIN
155411,Micah,Huskey,13,39,4,None,Enthusiastic,Balanced,0.4,5,LB Coach,False,MIN
156310,Jerry,Burns,13,63,6,None,Volatile,Conservative,4,5,Offensive Coordinator,False,MIN
157706,Marv,Levy,5,63,6,ProCoach,Enthusiastic,Aggressive,10,18,Head Coach,False,BUF
158514,Carlos,Doss,19,36,2,None,Relaxed,Aggressive,0.4,5,RB and Receivers Coach,False,WAS
163251,Chuck,Studley,2,61,6,None,Volatile,Aggressive,4,5,Defensive Coordinator,False,MIA
164035,Andrew,Spriggs,16,40,2,None,Professional,Balanced,0.4,5,QB Coach,False,TB
164940,Pete,Carroll,9,39,6,None,Volatile,Aggressive,4,5,Defensive Coordinator,False,LON
166614,Alexander,Powell,3,39,2,None,Relaxed,Balanced,0.4,5,Head Trainer,False,GB
166911,Dan,Henning,14,48,6,None,Volatile,Balanced,4,5,Offensive Coordinator,False,ATL
168996,Carroll,Justice,2,41,2,None,Stern,Balanced,0.4,5,RB and Receivers Coach,False,MIA
169029,William,Buxton,11,40,2,None,Stern,Balanced,0.4,5,Head Trainer,False,CHI
169258,Eugene,Harper,7,41,2,None,Relaxed,Aggressive,0.4,5,DB Coach,False,CIN
170461,Dean,Clough,8,35,2,None,Professional,Balanced,0.4,5,Special Teams Coach,False,SEA
