PlayerID,Jersey,FirstName,LastName,College,Age,Experience,Height,Weight,TeamID,Prestige,SignedBy,SignedSeason,StarRating,Injury,InjuryLength,Position,PlayerFlags,Transfer,Alt Position,Team,Redshirt,RedshirtYear,HomeState,Awards,Strength,Agility,Arm,Speed,Hands,Intelligence,Accuracy,Run Blocking,Pass Blocking,Tackling,Endurance,Kick Distance,Kick Accuracy,Overall
2,1,Mike,Ngo,Navy,20,4,68,173,1,54,0,0,4,Broken Nose,,QB,RunningQB,False,QB,NAVY,True,1983,SC,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,44,60,66,78,25,93,79,1,1,10,85,1,1,83
3,7,Jay,Walker,Navy,22,4,75,229,1,54,0,0,4,,,QB,None,False,QB,NAVY,True,1983,FL,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,45,59,74,59,1,67,75,1,1,13,78,1,1,74
4,15,Jeff,Hostetler,Navy,23,3,75,215,1,54,0,0,3,,,QB,None,False,QB,NAVY,False,0,TX,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,51,69,81,51,24,70,65,1,1,21,90,1,1,74
5,1,QB,FILLER,Navy,25,1,76,210,1,54,0,0,3,,,QB,None,False,QB,NAVY,False,0,NY,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,40,48,50,45,30,45,50,1,1,3,67,1,1,47
6,31,Terry,Allen,Navy,20,2,70,204,1,54,0,0,4,Migraine,,RB,None,False,RB,NAVY,True,1983,MO,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,59,69,27,87,59,46,20,25,18,18,68,1,1,78
7,30,Richard,Huntley,Navy,22,3,71,224,1,54,0,0,3,,,RB,None,False,RB,NAVY,False,0,MS,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,52,78,7,80,53,42,5,25,21,27,70,1,1,75
8,38,Ted,Brown,Navy,27,4,70,206,1,54,0,0,3,,,RB,None,False,RB,NAVY,True,1982,IA,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,60,71,10,76,58,53,10,20,19,34,71,1,1,75
9,44,Jerald,Moore,Navy,20,3,69,225,1,54,0,0,4,,,RB,None,False,RB,NAVY,False,0,OH,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,49,76,11,74,46,50,18,29,29,18,77,1,1,72
10,30,P.J.,Pope,Navy,19,3,69,212,1,54,0,0,4,Scratched Cornea,Probable,RB,None,False,RB,NAVY,True,1982,WA,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,69,78,4,71,44,55,14,30,29,30,66,1,1,75
11,34,LenDale,White,Navy,19,3,74,240,1,54,0,0,3,,,RB,None,False,RB,NAVY,True,1982,KS,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,59,70,6,65,46,42,5,19,22,16,71,1,1,67
12,4,Tuffy,Leemans,Navy,21,3,72,195,1,54,0,0,5,,,FB,None,False,FB,NAVY,True,1982,GA,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,75,63,70,70,60,80,75,55,55,55,91,1,1,87
13,45,FB,FILLER,Navy,25,2,71,199,1,54,0,0,3,,,FB,None,False,FB,NAVY,False,0,FL,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,35,47,10,46,30,45,5,25,27,5,66,1,1,42
14,88,Pete,Holohan,Navy,24,4,76,237,0,0,0,0,4,,,TE,None,False,TE,NAVY,True,1981,MS,Won 1984 Atlantic Coast Conference Championship,68,71,1,81,75,56,1,51,48,31,64,1,1,90
15,89,Leonard,Pope,Navy,20,3,78,250,1,54,0,0,4,,,TE,None,False,TE,NAVY,True,1983,MN,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,47,54,1,74,59,54,1,32,38,40,70,1,1,72
16,81,Reese,McCall,Navy,28,3,78,239,1,54,0,0,3,Broken Nose,,TE,None,False,TE,NAVY,False,0,CA,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,52,51,1,67,60,48,1,51,36,41,78,1,1,72
17,82,Adrian,Cooper,Navy,20,2,77,255,1,54,0,0,4,,,TE,None,False,TE,NAVY,True,1983,CA,Won 1984 Atlantic Coast Conference Championship|Won 1985 Atlantic Coast Conference Championship,61,59,1,59,70,49,1,35,35,35,67,1,1,77
